Age,Heart_Rate,Calories,Gender_male
38,104.0,178.0,1
23,102.0,122.0,1
68,108.0,166.0,0
79,102.0,158.0,1
35,83.0,7.0,0
67,105.0,143.0,1
21,82.0,43.0,0
44,92.0,86.0,0
43,100.0,128.0,0
21,111.0,182.0,1
32,98.0,52.0,0
79,107.0,236.0,1
51,97.0,114.0,1
60,99.0,64.0,0
49,103.0,171.0,1
46,82.0,19.0,1
35,111.0,144.0,0
31,94.0,37.0,1
42,110.0,185.0,1
66,87.0,60.0,0
52,96.0,127.0,1
59,101.0,149.0,1
23,102.0,78.0,1
49,91.0,24.0,0
25,107.0,143.0,0
20,104.0,143.0,1
28,94.0,71.0,0
60,90.0,58.0,1
29,95.0,71.0,0
40,88.0,20.0,1
26,96.0,78.0,1
26,97.0,93.0,0
25,90.0,17.0,1
60,84.0,12.0,0
25,101.0,115.0,1
39,106.0,119.0,0
30,108.0,168.0,0
23,90.0,44.0,1
37,108.0,192.0,0
22,101.0,96.0,0
26,105.0,135.0,0
56,86.0,54.0,0
43,115.0,239.0,1
38,94.0,69.0,0
24,90.0,46.0,1
25,101.0,115.0,0
31,88.0,17.0,0
54,115.0,190.0,0
34,89.0,48.0,0
28,112.0,178.0,0
24,88.0,20.0,1
27,90.0,64.0,0
35,94.0,95.0,0
49,111.0,196.0,1
36,91.0,9.0,1
58,101.0,105.0,0
40,92.0,58.0,0
31,97.0,111.0,1
50,101.0,108.0,1
36,87.0,24.0,1
34,96.0,67.0,0
78,84.0,62.0,0
41,104.0,172.0,1
41,87.0,24.0,1
24,98.0,84.0,1
67,105.0,132.0,0
47,110.0,167.0,0
42,101.0,101.0,0
25,97.0,113.0,0
25,101.0,84.0,1
58,88.0,28.0,0
68,99.0,157.0,1
24,97.0,64.0,1
38,104.0,133.0,1
26,108.0,145.0,0
64,103.0,174.0,1
49,93.0,34.0,0
73,103.0,193.0,0
27,107.0,147.0,1
66,105.0,133.0,1
39,101.0,161.0,1
30,76.0,18.0,0
76,96.0,85.0,1
60,95.0,90.0,1
54,108.0,176.0,1
49,89.0,51.0,0
24,82.0,24.0,0
28,83.0,22.0,0
72,106.0,212.0,1
32,112.0,201.0,1
36,93.0,83.0,0
65,93.0,87.0,1
36,97.0,141.0,0
32,103.0,134.0,0
42,80.0,5.0,1
34,109.0,201.0,1
34,86.0,9.0,1
26,83.0,20.0,1
31,113.0,221.0,1
64,105.0,112.0,0
34,99.0,108.0,1
63,110.0,257.0,1
44,108.0,192.0,1
36,90.0,72.0,1
41,104.0,169.0,1
73,97.0,120.0,1
31,106.0,172.0,1
22,84.0,21.0,1
34,102.0,105.0,0
21,109.0,156.0,0
22,89.0,13.0,0
33,100.0,134.0,1
51,103.0,130.0,0
45,83.0,7.0,1
33,101.0,140.0,0
47,91.0,34.0,1
70,79.0,34.0,0
77,92.0,44.0,0
35,85.0,42.0,0
44,89.0,9.0,0
71,97.0,107.0,0
54,87.0,39.0,0
63,108.0,178.0,0
50,101.0,79.0,0
63,102.0,113.0,1
30,109.0,143.0,0
33,84.0,16.0,0
38,100.0,137.0,1
20,97.0,71.0,1
67,94.0,72.0,0
24,103.0,76.0,1
30,109.0,187.0,1
35,103.0,109.0,0
63,111.0,204.0,0
50,91.0,29.0,0
33,98.0,91.0,1
36,84.0,16.0,0
75,84.0,36.0,1
56,97.0,80.0,1
50,111.0,151.0,0
24,116.0,195.0,1
32,80.0,26.0,0
49,99.0,138.0,1
77,89.0,15.0,0
67,97.0,120.0,1
23,112.0,197.0,1
37,98.0,114.0,1
35,107.0,127.0,0
34,97.0,112.0,1
49,98.0,116.0,0
69,83.0,35.0,0
49,103.0,110.0,1
41,95.0,117.0,0
42,105.0,115.0,1
52,107.0,157.0,1
26,91.0,54.0,0
79,104.0,163.0,0
72,107.0,156.0,1
34,91.0,42.0,1
60,89.0,35.0,0
45,91.0,34.0,0
33,98.0,99.0,1
56,109.0,161.0,1
21,94.0,38.0,0
50,99.0,104.0,0
60,105.0,200.0,1
39,108.0,183.0,1
48,110.0,140.0,1
38,97.0,100.0,0
54,110.0,178.0,1
23,104.0,150.0,1
72,94.0,83.0,0
47,74.0,12.0,1
58,103.0,49.0,0
41,101.0,147.0,1
62,90.0,44.0,1
30,107.0,179.0,0
32,113.0,161.0,0
20,84.0,20.0,1
53,102.0,127.0,0
51,112.0,247.0,1
78,100.0,173.0,1
31,74.0,3.0,0
74,83.0,32.0,1
50,106.0,140.0,0
40,88.0,34.0,0
41,88.0,30.0,1
26,94.0,64.0,0
25,104.0,152.0,1
31,105.0,91.0,1
20,83.0,9.0,1
55,84.0,20.0,0
52,103.0,156.0,0
60,110.0,223.0,1
36,97.0,83.0,1
53,89.0,51.0,0
36,97.0,52.0,1
23,114.0,170.0,0
36,79.0,7.0,0
37,103.0,149.0,0
48,105.0,181.0,1
39,118.0,201.0,0
21,88.0,23.0,1
20,100.0,109.0,1
57,84.0,30.0,1
77,94.0,84.0,0
34,109.0,128.0,1
52,97.0,137.0,1
70,103.0,216.0,1
64,95.0,68.0,0
73,97.0,129.0,1
47,88.0,50.0,1
39,84.0,19.0,0
25,89.0,30.0,0
22,119.0,197.0,1
67,95.0,24.0,1
64,94.0,70.0,0
37,91.0,54.0,1
21,100.0,88.0,1
40,83.0,24.0,1
36,108.0,121.0,0
53,95.0,57.0,0
41,98.0,126.0,1
56,89.0,24.0,1
29,84.0,41.0,0
28,92.0,28.0,1
22,90.0,34.0,1
76,96.0,161.0,1
73,86.0,20.0,1
39,97.0,119.0,1
69,95.0,63.0,0
46,93.0,58.0,0
30,115.0,215.0,0
35,101.0,96.0,0
60,107.0,160.0,0
35,104.0,154.0,0
26,81.0,11.0,1
21,104.0,122.0,1
27,101.0,124.0,0
47,97.0,113.0,0
27,80.0,9.0,0
49,108.0,208.0,1
27,102.0,101.0,1
46,91.0,66.0,1
58,102.0,100.0,1
27,101.0,65.0,1
29,91.0,47.0,1
39,78.0,8.0,1
56,84.0,17.0,0
32,97.0,101.0,1
43,80.0,18.0,0
21,108.0,131.0,1
76,97.0,58.0,0
22,104.0,87.0,0
35,104.0,152.0,1
45,105.0,193.0,1
32,99.0,51.0,1
39,105.0,157.0,1
44,105.0,165.0,0
26,84.0,22.0,0
42,98.0,91.0,0
24,93.0,9.0,0
56,91.0,74.0,1
71,85.0,26.0,1
37,99.0,57.0,0
47,81.0,37.0,0
48,112.0,217.0,1
52,87.0,47.0,1
40,99.0,139.0,1
66,88.0,19.0,0
37,94.0,80.0,0
28,94.0,74.0,1
59,93.0,54.0,0
24,105.0,154.0,1
67,93.0,140.0,0
33,97.0,52.0,1
34,97.0,79.0,1
40,99.0,94.0,1
22,116.0,202.0,1
66,114.0,238.0,1
42,103.0,117.0,1
42,83.0,26.0,1
64,106.0,184.0,1
32,105.0,169.0,0
24,78.0,2.0,1
26,107.0,162.0,1
32,92.0,62.0,0
51,105.0,150.0,1
40,110.0,183.0,0
34,101.0,138.0,0
48,103.0,99.0,1
21,100.0,128.0,0
31,91.0,54.0,0
76,95.0,127.0,1
20,84.0,11.0,1
22,94.0,66.0,1
44,91.0,49.0,1
49,85.0,42.0,0
49,95.0,37.0,1
46,84.0,12.0,0
75,107.0,243.0,1
20,76.0,14.0,0
33,105.0,171.0,0
68,112.0,241.0,1
58,104.0,125.0,0
23,112.0,171.0,1
79,87.0,52.0,1
43,103.0,187.0,1
37,104.0,141.0,0
75,123.0,314.0,1
61,102.0,159.0,0
26,80.0,30.0,0
23,110.0,176.0,0
64,111.0,211.0,1
20,85.0,29.0,0
22,95.0,99.0,0
27,116.0,190.0,0
36,83.0,22.0,1
59,110.0,247.0,1
36,84.0,17.0,1
71,86.0,37.0,0
21,103.0,117.0,0
56,91.0,52.0,1
68,75.0,7.0,0
75,98.0,68.0,1
48,89.0,74.0,1
62,97.0,154.0,1
53,104.0,165.0,0
47,97.0,96.0,1
39,101.0,77.0,1
54,92.0,86.0,0
38,101.0,129.0,1
39,100.0,151.0,0
51,106.0,197.0,1
30,104.0,77.0,1
33,90.0,22.0,0
47,100.0,161.0,1
64,114.0,192.0,0
37,90.0,37.0,0
41,106.0,135.0,1
61,90.0,55.0,1
38,84.0,29.0,1
21,97.0,52.0,1
26,69.0,2.0,0
48,94.0,106.0,1
71,84.0,28.0,1
73,107.0,189.0,1
65,111.0,190.0,0
57,91.0,66.0,0
49,99.0,135.0,1
55,97.0,23.0,1
20,80.0,17.0,1
45,84.0,21.0,0
53,90.0,60.0,0
46,93.0,51.0,0
25,85.0,15.0,1
22,92.0,29.0,1
60,110.0,190.0,0
50,89.0,51.0,0
61,95.0,95.0,0
69,112.0,216.0,0
30,101.0,165.0,1
33,105.0,122.0,0
21,96.0,69.0,1
39,99.0,113.0,0
26,92.0,26.0,1
44,91.0,22.0,1
58,96.0,70.0,0
24,83.0,9.0,1
35,95.0,72.0,1
21,111.0,165.0,1
26,105.0,165.0,1
30,88.0,64.0,0
27,105.0,103.0,1
32,83.0,15.0,0
30,85.0,32.0,0
79,85.0,68.0,0
39,106.0,159.0,0
25,92.0,23.0,1
23,90.0,54.0,0
47,89.0,9.0,0
34,120.0,240.0,1
36,86.0,42.0,0
63,106.0,117.0,1
37,106.0,164.0,0
50,98.0,132.0,0
62,85.0,9.0,1
37,94.0,74.0,0
35,96.0,116.0,0
27,102.0,42.0,1
55,110.0,187.0,1
36,94.0,70.0,1
22,86.0,29.0,0
20,83.0,17.0,1
43,108.0,195.0,1
73,106.0,127.0,0
22,87.0,39.0,1
67,88.0,28.0,1
25,93.0,68.0,1
41,97.0,91.0,0
49,97.0,89.0,1
58,89.0,10.0,0
27,111.0,185.0,1
33,79.0,16.0,0
59,91.0,97.0,0
21,92.0,44.0,1
65,95.0,56.0,0
22,103.0,112.0,1
55,81.0,37.0,1
22,86.0,24.0,1
35,112.0,216.0,0
58,101.0,106.0,1
45,85.0,57.0,1
62,97.0,119.0,1
74,97.0,96.0,0
48,88.0,33.0,0
23,100.0,106.0,1
31,106.0,156.0,1
53,92.0,75.0,1
73,99.0,130.0,1
27,113.0,142.0,0
40,99.0,121.0,1
66,99.0,143.0,0
46,105.0,123.0,0
75,108.0,186.0,0
33,94.0,53.0,1
49,104.0,170.0,0
37,97.0,78.0,0
43,113.0,182.0,0
66,92.0,55.0,0
51,101.0,150.0,0
33,80.0,21.0,0
48,90.0,26.0,1
43,93.0,90.0,1
48,99.0,91.0,1
34,95.0,79.0,1
61,107.0,195.0,0
48,101.0,57.0,0
30,98.0,96.0,0
79,93.0,39.0,0
67,85.0,18.0,0
60,85.0,17.0,1
57,97.0,82.0,0
34,101.0,110.0,1
42,106.0,161.0,0
38,107.0,164.0,1
43,81.0,15.0,1
76,96.0,85.0,1
37,101.0,128.0,1
23,94.0,59.0,1
21,84.0,6.0,1
20,92.0,82.0,0
23,105.0,148.0,0
20,76.0,8.0,0
25,86.0,53.0,0
24,98.0,85.0,0
29,99.0,120.0,0
43,107.0,205.0,1
26,80.0,13.0,0
76,107.0,192.0,0
43,91.0,18.0,1
73,92.0,44.0,1
42,103.0,172.0,1
23,105.0,158.0,0
22,82.0,11.0,1
28,96.0,108.0,1
20,96.0,112.0,0
36,92.0,66.0,0
26,88.0,36.0,1
59,89.0,19.0,1
22,94.0,49.0,0
50,100.0,149.0,0
22,81.0,4.0,1
52,115.0,206.0,0
31,94.0,111.0,0
68,105.0,226.0,1
48,94.0,56.0,0
31,92.0,30.0,1
23,91.0,67.0,0
24,102.0,111.0,1
58,107.0,199.0,1
32,102.0,85.0,0
21,77.0,6.0,0
63,105.0,219.0,1
77,102.0,162.0,1
49,110.0,190.0,1
26,108.0,190.0,1
53,87.0,40.0,0
31,92.0,40.0,0
32,75.0,8.0,0
35,85.0,31.0,0
66,100.0,130.0,0
40,89.0,32.0,0
62,97.0,139.0,1
24,88.0,12.0,0
37,96.0,55.0,1
49,95.0,48.0,1
32,107.0,160.0,1
46,94.0,67.0,0
59,105.0,178.0,1
42,91.0,79.0,0
44,85.0,32.0,1
74,103.0,140.0,0
68,92.0,86.0,1
58,97.0,97.0,1
32,117.0,217.0,1
34,91.0,88.0,1
23,106.0,127.0,0
52,88.0,32.0,0
28,85.0,19.0,0
47,103.0,121.0,0
24,92.0,40.0,1
73,91.0,48.0,0
76,100.0,195.0,1
65,91.0,52.0,1
29,81.0,8.0,1
20,104.0,136.0,1
33,86.0,20.0,1
33,83.0,11.0,0
34,103.0,144.0,1
43,89.0,59.0,0
47,97.0,53.0,0
65,90.0,38.0,0
22,99.0,152.0,0
28,94.0,34.0,1
30,87.0,12.0,0
20,76.0,1.0,1
32,110.0,197.0,1
56,103.0,124.0,0
67,106.0,120.0,1
62,88.0,48.0,1
33,97.0,86.0,0
46,108.0,185.0,1
79,90.0,49.0,1
57,85.0,49.0,0
49,87.0,48.0,0
41,100.0,81.0,1
38,112.0,137.0,1
28,98.0,115.0,1
31,98.0,93.0,1
48,87.0,34.0,1
41,106.0,170.0,1
71,92.0,38.0,1
30,99.0,139.0,0
30,94.0,86.0,0
29,111.0,174.0,0
34,82.0,14.0,1
42,108.0,197.0,1
51,105.0,107.0,0
35,100.0,106.0,1
28,85.0,11.0,0
33,90.0,25.0,0
22,98.0,120.0,0
64,102.0,151.0,1
57,91.0,91.0,0
42,95.0,95.0,0
24,101.0,119.0,1
49,82.0,10.0,1
32,99.0,96.0,1
78,98.0,92.0,1
53,107.0,159.0,0
68,105.0,169.0,1
47,98.0,93.0,1
51,96.0,83.0,0
64,92.0,116.0,0
51,87.0,75.0,1
23,98.0,137.0,0
42,94.0,79.0,0
23,88.0,23.0,1
70,83.0,19.0,1
53,88.0,52.0,1
28,98.0,76.0,1
48,92.0,47.0,0
43,99.0,124.0,0
21,89.0,28.0,0
26,104.0,127.0,1
53,95.0,101.0,0
32,103.0,150.0,0
24,90.0,34.0,1
30,93.0,56.0,1
31,104.0,158.0,0
21,107.0,129.0,1
35,93.0,44.0,1
56,94.0,66.0,1
34,107.0,181.0,0
29,101.0,79.0,0
23,113.0,145.0,0
22,110.0,180.0,0
42,98.0,81.0,1
40,95.0,75.0,0
28,79.0,4.0,1
49,100.0,110.0,1
28,93.0,35.0,1
56,86.0,23.0,1
41,103.0,175.0,0
38,95.0,137.0,1
21,106.0,166.0,0
73,94.0,136.0,1
48,102.0,156.0,1
53,89.0,37.0,0
43,102.0,97.0,1
20,99.0,77.0,1
22,105.0,156.0,1
50,93.0,58.0,1
46,95.0,53.0,1
40,100.0,108.0,0
71,90.0,56.0,0
20,106.0,103.0,1
68,101.0,164.0,1
50,98.0,73.0,1
24,78.0,3.0,1
25,99.0,80.0,0
34,96.0,88.0,1
42,98.0,74.0,0
29,101.0,94.0,0
40,87.0,20.0,1
77,85.0,41.0,0
46,98.0,112.0,1
78,96.0,69.0,0
35,99.0,130.0,1
21,98.0,100.0,1
45,104.0,169.0,0
56,108.0,183.0,0
74,110.0,211.0,0
46,86.0,23.0,1
21,95.0,58.0,1
26,77.0,5.0,1
63,90.0,62.0,1
34,90.0,14.0,0
68,107.0,196.0,1
56,91.0,82.0,1
21,108.0,163.0,1
20,99.0,108.0,1
35,102.0,87.0,0
25,99.0,91.0,1
62,108.0,186.0,0
63,83.0,34.0,0
46,97.0,61.0,0
46,97.0,113.0,1
24,82.0,11.0,1
43,83.0,42.0,1
27,81.0,7.0,0
65,96.0,86.0,1
63,88.0,35.0,0
59,102.0,146.0,1
34,97.0,38.0,0
57,105.0,179.0,0
28,85.0,30.0,1
31,97.0,71.0,1
30,87.0,65.0,0
38,80.0,5.0,1
54,107.0,190.0,0
54,82.0,36.0,1
31,92.0,64.0,1
73,109.0,240.0,1
75,114.0,212.0,0
39,97.0,108.0,1
26,87.0,15.0,1
28,111.0,153.0,0
58,91.0,53.0,1
79,99.0,142.0,1
26,95.0,74.0,0
53,105.0,150.0,0
33,94.0,85.0,0
60,88.0,15.0,1
53,84.0,19.0,1
26,86.0,9.0,1
23,91.0,10.0,1
31,77.0,6.0,0
20,107.0,135.0,1
32,111.0,201.0,1
61,108.0,232.0,1
27,92.0,52.0,1
42,86.0,23.0,0
22,97.0,92.0,0
71,91.0,99.0,0
28,87.0,41.0,0
38,113.0,192.0,1
43,79.0,7.0,0
21,97.0,116.0,1
38,102.0,120.0,1
46,90.0,9.0,1
49,84.0,12.0,1
33,89.0,14.0,1
61,85.0,35.0,0
35,108.0,162.0,1
32,115.0,212.0,1
38,94.0,101.0,0
58,98.0,145.0,1
46,85.0,8.0,0
25,92.0,49.0,0
23,92.0,42.0,0
24,93.0,82.0,0
38,85.0,12.0,0
29,98.0,93.0,0
79,86.0,39.0,0
37,106.0,155.0,0
22,102.0,90.0,0
20,92.0,69.0,1
57,114.0,133.0,0
58,92.0,67.0,1
32,90.0,23.0,0
32,77.0,6.0,0
42,113.0,194.0,0
50,79.0,8.0,0
44,93.0,58.0,0
27,106.0,120.0,1
38,89.0,57.0,0
23,97.0,89.0,0
31,101.0,91.0,0
52,105.0,143.0,0
46,104.0,156.0,1
56,89.0,24.0,0
39,78.0,19.0,0
66,114.0,242.0,1
62,103.0,135.0,0
63,87.0,14.0,0
77,103.0,190.0,0
54,92.0,111.0,0
43,94.0,47.0,0
30,107.0,173.0,1
74,101.0,150.0,1
25,85.0,30.0,0
43,107.0,122.0,1
40,111.0,216.0,1
61,114.0,208.0,0
56,85.0,13.0,0
67,89.0,39.0,0
72,92.0,59.0,0
32,111.0,151.0,1
51,76.0,2.0,1
67,90.0,86.0,0
65,97.0,113.0,1
35,112.0,170.0,1
32,90.0,27.0,1
57,71.0,6.0,1
50,101.0,144.0,0
24,91.0,34.0,0
55,87.0,63.0,0
23,101.0,79.0,1
79,89.0,62.0,1
35,97.0,57.0,1
31,83.0,11.0,0
35,108.0,161.0,1
70,87.0,38.0,0
65,85.0,24.0,1
58,99.0,131.0,0
22,115.0,201.0,1
24,99.0,104.0,0
49,106.0,175.0,0
26,101.0,60.0,0
21,81.0,8.0,1
23,115.0,207.0,1
39,93.0,74.0,0
33,100.0,103.0,1
28,81.0,10.0,0
70,94.0,67.0,0
38,84.0,25.0,1
27,88.0,54.0,1
53,93.0,73.0,1
38,100.0,93.0,0
54,85.0,26.0,0
32,97.0,75.0,1
28,107.0,125.0,1
27,105.0,147.0,0
54,86.0,17.0,0
56,98.0,101.0,0
26,95.0,66.0,1
25,92.0,44.0,1
45,102.0,116.0,1
21,81.0,16.0,0
21,75.0,11.0,0
36,89.0,49.0,0
78,83.0,78.0,1
49,84.0,18.0,1
60,87.0,5.0,1
32,99.0,93.0,1
73,91.0,12.0,1
22,88.0,12.0,0
76,84.0,35.0,1
50,98.0,39.0,0
20,93.0,42.0,0
43,76.0,12.0,0
45,93.0,76.0,0
23,105.0,139.0,1
23,108.0,159.0,0
25,99.0,101.0,0
22,79.0,2.0,1
58,105.0,166.0,0
27,79.0,6.0,1
60,82.0,52.0,1
37,105.0,157.0,0
24,105.0,140.0,0
75,102.0,103.0,0
52,112.0,241.0,1
49,80.0,36.0,0
31,84.0,12.0,0
23,105.0,91.0,1
27,96.0,66.0,1
42,88.0,62.0,0
36,98.0,114.0,1
29,85.0,12.0,1
57,107.0,180.0,0
64,83.0,17.0,1
63,86.0,74.0,1
57,108.0,185.0,0
70,97.0,125.0,1
53,85.0,9.0,0
50,95.0,91.0,0
68,86.0,39.0,0
64,96.0,165.0,1
31,94.0,96.0,1
33,95.0,34.0,0
76,98.0,136.0,0
25,100.0,36.0,0
55,88.0,43.0,0
27,95.0,71.0,1
42,94.0,40.0,0
54,107.0,163.0,0
68,110.0,188.0,0
33,80.0,14.0,0
27,85.0,9.0,1
20,87.0,47.0,1
28,99.0,146.0,0
54,106.0,189.0,1
42,93.0,68.0,1
43,94.0,52.0,1
48,85.0,58.0,0
52,86.0,20.0,1
65,98.0,71.0,0
31,95.0,60.0,0
40,83.0,24.0,1
62,99.0,105.0,1
29,84.0,23.0,1
50,106.0,196.0,0
73,97.0,70.0,1
37,82.0,19.0,1
60,100.0,72.0,0
25,88.0,31.0,1
34,92.0,70.0,0
29,102.0,114.0,1
20,74.0,5.0,0
35,106.0,162.0,1
35,100.0,102.0,1
45,91.0,30.0,1
46,106.0,166.0,0
50,83.0,18.0,1
78,87.0,40.0,0
40,92.0,14.0,0
66,99.0,135.0,0
61,102.0,144.0,0
48,87.0,75.0,0
20,84.0,35.0,0
50,84.0,12.0,0
64,94.0,109.0,0
48,81.0,22.0,1
29,103.0,137.0,1
47,95.0,90.0,0
20,98.0,77.0,0
32,106.0,143.0,1
59,92.0,82.0,0
20,102.0,111.0,0
64,100.0,133.0,1
31,85.0,13.0,1
30,91.0,31.0,0
72,102.0,121.0,0
45,94.0,41.0,0
29,101.0,100.0,1
37,105.0,122.0,0
24,89.0,50.0,0
38,99.0,49.0,0
57,109.0,214.0,1
50,108.0,176.0,0
40,97.0,150.0,0
24,101.0,145.0,0
47,95.0,71.0,1
50,97.0,74.0,1
46,113.0,183.0,0
38,82.0,15.0,1
30,103.0,123.0,1
42,96.0,110.0,0
56,103.0,117.0,0
39,105.0,164.0,0
64,87.0,67.0,1
35,82.0,8.0,1
73,89.0,73.0,1
26,91.0,15.0,1
40,90.0,65.0,0
63,88.0,37.0,0
40,101.0,121.0,1
33,88.0,71.0,0
64,101.0,117.0,0
21,82.0,23.0,0
41,100.0,166.0,1
58,94.0,95.0,1
21,76.0,3.0,0
28,109.0,143.0,1
28,83.0,4.0,0
44,110.0,205.0,1
20,93.0,76.0,0
59,87.0,41.0,1
22,105.0,78.0,1
35,79.0,5.0,1
24,85.0,23.0,1
60,112.0,232.0,1
55,98.0,100.0,1
39,98.0,84.0,0
45,91.0,48.0,1
59,99.0,142.0,1
38,85.0,8.0,0
20,85.0,7.0,1
37,104.0,149.0,1
37,96.0,106.0,0
38,90.0,62.0,1
33,93.0,89.0,0
60,105.0,179.0,0
62,82.0,39.0,0
64,107.0,207.0,1
26,82.0,7.0,1
62,93.0,65.0,1
56,91.0,25.0,0
53,98.0,73.0,0
25,96.0,108.0,1
60,102.0,185.0,1
25,98.0,108.0,1
37,106.0,115.0,0
22,98.0,30.0,0
46,109.0,190.0,0
24,97.0,59.0,1
31,93.0,46.0,0
31,107.0,185.0,1
21,90.0,17.0,1
44,112.0,197.0,1
32,94.0,78.0,0
20,88.0,84.0,0
31,84.0,12.0,0
26,98.0,128.0,0
22,98.0,115.0,0
30,80.0,17.0,1
60,102.0,154.0,0
24,103.0,104.0,1
73,92.0,87.0,1
34,113.0,206.0,1
34,98.0,43.0,0
58,93.0,63.0,0
35,104.0,137.0,1
20,86.0,31.0,0
39,81.0,22.0,0
23,77.0,40.0,0
75,94.0,122.0,0
27,93.0,102.0,0
79,97.0,198.0,1
27,109.0,178.0,0
27,102.0,109.0,0
40,102.0,150.0,1
25,106.0,121.0,1
68,88.0,25.0,1
44,91.0,69.0,1
30,105.0,169.0,0
49,87.0,37.0,1
76,98.0,114.0,1
70,83.0,62.0,1
44,102.0,97.0,0
21,98.0,91.0,0
36,91.0,80.0,0
55,112.0,204.0,1
40,107.0,151.0,0
45,88.0,20.0,1
64,102.0,133.0,0
52,89.0,64.0,0
20,88.0,24.0,1
76,87.0,60.0,1
22,113.0,183.0,0
75,86.0,38.0,1
31,100.0,121.0,0
20,101.0,150.0,0
22,101.0,76.0,0
27,106.0,163.0,0
67,92.0,48.0,1
29,85.0,20.0,0
45,91.0,29.0,1
30,85.0,23.0,1
50,95.0,58.0,0
55,105.0,157.0,0
21,103.0,97.0,1
43,95.0,21.0,0
59,105.0,188.0,0
32,108.0,110.0,1
76,90.0,101.0,1
29,80.0,6.0,1
48,82.0,19.0,0
44,97.0,25.0,1
76,93.0,120.0,1
23,108.0,179.0,0
60,96.0,115.0,1
39,100.0,116.0,1
56,86.0,35.0,0
24,88.0,42.0,1
31,98.0,60.0,1
49,96.0,60.0,0
22,112.0,176.0,1
48,80.0,3.0,1
23,88.0,9.0,1
60,84.0,8.0,1
28,88.0,29.0,0
38,81.0,7.0,0
45,110.0,210.0,1
35,86.0,12.0,0
56,84.0,22.0,1
27,95.0,85.0,0
55,105.0,148.0,1
34,100.0,137.0,0
27,79.0,7.0,0
42,87.0,71.0,1
36,91.0,59.0,1
30,83.0,18.0,0
31,79.0,17.0,0
38,99.0,101.0,1
35,112.0,198.0,1
59,90.0,35.0,0
42,94.0,53.0,1
76,103.0,176.0,1
74,101.0,152.0,1
74,82.0,14.0,1
24,99.0,56.0,1
28,96.0,71.0,1
78,110.0,270.0,1
36,94.0,58.0,1
61,95.0,55.0,0
28,106.0,61.0,1
60,84.0,34.0,1
43,93.0,49.0,1
26,105.0,103.0,1
32,87.0,36.0,0
22,81.0,12.0,1
38,85.0,12.0,0
42,92.0,64.0,1
32,105.0,185.0,1
26,97.0,95.0,1
40,98.0,106.0,0
52,98.0,126.0,1
39,91.0,85.0,1
28,112.0,176.0,0
43,89.0,36.0,0
